fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
6.3,0.2,0.33,6.9,0.052,23,118,0.9938,3.23,0.46,10.4,6,white
6.5,0.2,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6,white
7.5,0.3,0.24,3.9,0.031,5,34,0.9910,3.01,0.36,11.8,4,white
7.9,0.3,0.32,1.9,0.066,14,36,0.9936,3.41,0.56,12.6,6,red
10.7,0.2,0.56,8.2,0.044,37,181,0.9980,2.87,0.68,9.5,6,white
8.4,0.7,0.61,2.0,0.112,13,95,0.9970,3.16,0.54,9.1,5,red
4.9,0.5,0.17,1.9,0.035,60,148,0.9896,3.27,0.35,11.5,6,white
6.5,0.4,0.10,2.0,0.076,30,47,0.9955,3.36,0.48,9.4,6,red
6.6,0.2,0.38,8.0,0.042,56,187,0.9958,3.21,0.46,9.2,5,white
6.0,0.2,0.29,9.7,0.044,33,98,0.9954,3.12,0.36,9.2,6,white
6.6,0.2,0.36,5.5,0.029,30,105,0.9921,3.20,0.47,11.8,6,white
7.6,0.2,0.30,14.2,0.056,53,213,0.9990,3.14,0.46,8.9,8,white
7.1,0.3,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7,white
7.0,0.2,0.30,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,6,white
5.1,0.2,0.28,1.4,0.047,48,148,0.9917,3.50,0.49,10.4,5,white
8.0,0.2,0.37,0.9,0.049,36,109,0.9901,2.89,0.44,12.7,6,red
9.2,0.2,0.35,10.7,0.037,34,145,0.9981,3.09,0.32,9.7,5,white
9.8,0.9,0.25,2.5,0.104,35,155,1.0010,3.41,0.67,11.2,5,red
7.2,0.2,0.30,3.9,0.020,39,142,0.9921,3.17,0.39,10.9,6,white
7.4,0.3,0.50,12.1,0.049,48,122,0.9973,3.01,0.44,9.0,5,white
5.9,0.1,0.28,1.4,0.037,36,81,0.9908,3.33,0.41,10.9,7,white
6.4,0.4,0.20,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,5,white
7.2,0.6,0.03,2.2,0.080,17,88,0.9975,3.53,0.58,9.8,6,red
10.2,0.3,0.46,1.9,0.081,6,9,0.9963,3.10,0.48,10.4,6,red
6.8,0.7,0.21,2.1,0.070,9,23,0.9955,3.38,0.60,10.3,5,red
6.6,0.2,0.29,2.0,0.023,19,86,0.9900,3.25,0.45,12.5,6,white
7.2,0.3,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9.0,7,white
8.2,0.2,0.31,11.8,0.039,96,249,0.9976,3.07,0.52,9.5,6,white
7.9,0.3,0.22,13.3,0.048,46,212,0.9994,3.47,0.59,10.0,5,white
6.7,0.3,0.30,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5,white
7.8,0.3,0.34,1.6,0.028,32,118,0.9901,3.00,0.38,12.1,7,white
7.3,0.3,0.31,18.0,0.061,43,187,1.0002,3.25,0.64,9.2,5,white
9.2,0.3,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5,white
8.2,0.4,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5,red
7.9,0.2,0.45,14.2,0.038,53,141,0.9992,3.03,0.46,9.2,6,white
8.6,0.5,0.28,1.9,0.110,20,136,0.9972,2.93,1.95,9.9,6,red
6.2,0.3,0.38,7.9,0.045,54,208,0.9957,3.17,0.46,9.1,5,white
6.5,0.1,0.32,2.7,0.037,18,89,0.9924,3.40,0.74,11.5,7,white
7.5,0.3,0.28,4.0,0.028,46,100,0.9896,3.20,0.50,13.2,7,white
7.9,0.3,0.68,8.3,0.050,38,289,0.9932,3.01,0.51,12.3,7,red
8.3,0.2,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6,white
8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10.0,7,white
6.7,0.3,0.49,8.3,0.047,54,191,0.9954,3.23,0.40,10.3,6,white
7.5,0.4,0.29,2.6,0.089,26,71,0.9965,3.38,0.68,11.0,5,red
8.4,0.6,0.12,1.8,0.072,38,46,0.9950,3.38,0.89,11.8,6,red
8.1,0.1,0.38,0.9,0.034,36,86,0.9903,2.80,0.55,12.0,6,white
10.4,0.4,0.42,1.5,0.145,34,48,0.9983,3.38,0.86,9.9,3,red
7.4,0.2,0.80,12.3,0.038,77,183,0.9978,2.95,0.48,9.0,5,white
6.3,0.6,0.31,1.8,0.088,16,64,0.9969,3.46,0.80,9.4,5,red
6.7,0.3,0.26,4.1,0.073,36,202,0.9956,3.30,0.67,9.5,5,white
6.2,0.3,0.21,6.3,0.041,50,218,0.9941,3.15,0.60,10.0,5,white
6.5,0.4,0.31,4.1,0.061,20,134,0.9948,3.18,0.45,9.0,6,white
6.6,0.4,0.30,5.3,0.038,20,125,0.9920,3.36,0.73,12.6,6,white
6.0,0.3,0.28,7.7,0.053,37,132,0.9949,3.06,0.50,9.4,6,white
7.3,0.2,0.40,2.0,0.050,24,92,0.9932,3.14,0.45,10.5,5,white
6.0,0.2,0.26,1.1,0.033,38,67,0.9895,3.14,0.38,11.5,6,white
7.0,0.2,0.34,8.0,0.057,19,101,0.9954,2.99,0.59,9.4,5,white
6.9,0.4,0.30,2.8,0.044,27,95,0.9905,3.11,0.43,11.3,5,white
9.4,0.3,0.52,2.4,0.075,6,18,0.9961,3.21,1.15,12.0,8,red
4.2,0.2,0.36,1.8,0.029,93,161,0.9900,3.65,0.89,12.0,7,white
6.4,0.3,0.43,12.6,0.032,65,229,0.9974,3.08,0.39,9.0,5,white
12.0,0.6,0.50,2.6,0.082,6,34,1.0005,3.13,0.78,10.7,6,red
6.4,0.2,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6,white
6.2,0.3,0.27,4.9,0.036,30,134,0.9927,3.20,0.42,10.4,7,white
6.9,0.3,0.29,4.2,0.043,33,114,0.9902,3.16,0.31,12.5,6,white
7.4,0.2,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6,white
6.7,0.2,0.37,2.0,0.039,34,125,0.9922,3.26,0.60,10.8,7,white
7.0,0.2,0.37,1.5,0.043,16,104,0.9922,3.18,0.50,10.8,5,white
6.9,0.3,0.74,11.2,0.069,44,150,0.9968,3.00,0.81,9.2,5,white
7.5,0.7,0.28,1.8,0.400,18,50,0.9969,3.17,1.14,9.3,4,red
9.4,0.2,0.56,16.5,0.063,53,282,1.0010,3.10,0.51,9.3,5,white
7.1,0.3,0.32,16.2,0.044,31,170,0.9964,3.17,0.37,11.2,5,white
7.3,0.1,0.49,1.1,0.038,28,99,0.9928,3.20,0.72,10.6,6,white
15.5,0.6,0.49,4.2,0.095,10,23,1.0032,2.92,0.74,11.1,5,red
6.7,0.1,0.51,4.3,0.028,57,124,0.9918,2.91,0.54,10.7,7,white
6.8,0.6,0.00,2.5,0.072,32,64,0.9949,3.43,0.56,11.2,6,red
7.7,0.3,0.35,15.3,0.056,31,117,0.9998,3.27,0.50,9.6,5,white
7.9,0.2,0.64,17.0,0.050,69,210,1.0004,3.15,0.51,9.3,7,white
8.3,0.7,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6,red
8.3,0.5,0.23,6.7,0.034,6,158,0.9934,3.05,0.48,11.2,5,white
7.1,0.6,0.06,1.3,0.070,5,12,0.9942,3.17,0.48,9.8,5,red
5.9,0.2,0.21,1.7,0.045,57,135,0.9934,3.32,0.44,9.5,5,white
5.8,0.2,0.20,2.0,0.043,39,154,0.9923,3.21,0.39,10.2,6,white
6.8,0.2,0.30,5.3,0.050,40,127,0.9942,3.40,0.39,9.7,6,white
6.4,0.3,0.53,8.8,0.057,36,221,0.9964,3.17,0.44,9.1,5,white
6.3,1.0,0.00,2.0,0.083,17,24,0.9944,3.59,0.55,11.2,4,red
7.0,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,white
7.0,0.2,0.36,2.6,0.029,28,98,0.9913,3.11,0.37,11.2,7,white
9.0,0.8,0.05,2.4,0.081,26,96,0.9981,3.36,0.53,10.0,5,red
13.4,0.3,0.52,3.2,0.093,16,54,1.0014,3.06,0.82,9.4,5,red
7.6,0.4,0.20,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5,white
6.9,0.4,0.28,13.6,0.048,51,189,0.9978,3.00,0.60,9.5,7,white
6.4,0.4,0.24,7.2,0.047,41,151,0.9960,3.11,0.60,9.2,5,white
8.1,0.8,0.23,2.6,0.059,5,15,0.9970,3.37,0.56,11.3,5,red
6.9,0.2,0.34,4.0,0.047,24,128,0.9944,3.20,0.52,9.7,6,white
7.9,0.2,0.39,2.0,0.057,21,138,0.9918,3.05,0.52,10.9,5,white
8.3,0.3,0.48,2.1,0.093,6,12,0.9941,3.26,0.62,12.4,7,red
7.0,0.2,0.34,2.1,0.049,12,136,0.9922,3.25,0.46,11.6,7,white
6.9,0.5,0.26,12.7,0.049,59,195,0.9960,3.26,0.54,10.5,6,white
7.8,0.6,0.26,2.0,0.080,31,131,0.9962,3.21,0.52,9.9,5,red
8.2,0.4,0.29,1.6,0.081,27,45,0.9960,3.25,0.54,10.3,5,red
6.1,0.4,0.14,3.9,0.060,27,113,0.9934,3.07,0.34,9.2,4,white
5.7,0.3,0.16,7.9,0.044,48,197,0.9951,3.21,0.36,9.4,5,white
6.0,0.3,0.29,19.3,0.051,36,174,0.9991,3.14,0.50,9.0,5,white
8.0,0.4,0.22,1.4,0.106,10,37,0.9966,3.18,0.91,9.5,5,red
8.4,0.6,0.04,2.0,0.082,10,22,0.9976,3.22,0.44,9.6,5,red
8.4,0.7,0.11,1.9,0.090,16,63,0.9965,3.19,0.82,9.6,5,red
7.5,0.2,0.40,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,6,white
6.6,0.2,0.28,12.1,0.058,25,125,0.9986,3.45,0.45,9.4,5,white
6.9,0.4,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9,white
6.9,1.1,0.06,2.0,0.062,13,30,0.9948,3.53,0.43,11.5,3,red
11.9,0.4,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,red
6.7,0.9,0.07,2.0,0.100,20,57,0.9960,3.60,0.74,11.7,6,red
6.6,0.2,0.29,14.4,0.046,39,118,0.9983,3.05,0.50,9.1,6,white
8.1,0.2,0.40,0.9,0.037,73,180,0.9926,3.06,0.34,10.0,6,white
6.1,0.2,0.17,1.6,0.048,46,129,0.9910,3.30,0.43,11.4,6,white
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4,white
7.6,0.2,0.27,4.6,0.050,23,98,0.9942,3.08,0.47,9.5,6,white
8.3,0.7,0.11,2.6,0.091,12,29,0.9992,3.51,0.73,10.1,4,red
7.9,0.4,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13.0,6,white
5.8,0.3,0.31,2.7,0.049,25,153,0.9907,3.44,0.73,12.2,7,white
7.5,0.5,0.26,1.9,0.062,8,33,0.9965,3.40,0.64,9.8,5,red
8.5,0.6,0.59,2.1,0.111,12,88,0.9973,3.19,0.52,9.2,5,red
7.1,0.5,0.24,2.2,0.070,7,39,0.9959,3.33,0.47,9.5,5,red
5.7,0.2,0.28,9.7,0.025,26,121,0.9925,3.28,0.38,11.3,6,white
7.1,0.1,0.30,3.1,0.018,15,37,0.9900,3.02,0.52,11.9,7,white
7.8,0.3,0.35,1.8,0.042,8,167,0.9908,3.11,0.41,12.1,6,white
8.1,0.7,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,6,red
7.7,0.6,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,red
13.4,0.3,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6,red
7.3,0.6,0.30,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5,red
6.5,0.2,0.33,4.8,0.043,45,114,0.9920,3.18,0.44,11.2,6,white
6.8,0.3,0.27,11.6,0.028,22,97,0.9931,2.96,0.38,11.7,6,white
6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,5,white
7.5,0.3,0.31,17.7,0.051,33,173,0.9990,3.09,0.64,10.2,5,white
7.0,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7,red
7.8,0.3,0.34,13.7,0.044,66,184,0.9998,3.22,0.75,8.9,5,white
6.9,0.3,0.26,5.0,0.027,46,143,0.9924,3.25,0.43,11.2,7,white
9.0,0.3,0.35,4.9,0.028,27,95,0.9932,3.04,0.40,11.3,6,white
5.6,0.3,0.18,1.4,0.034,18,135,0.9917,3.32,0.35,10.2,6,white
6.2,0.2,0.27,11.0,0.035,46,116,0.9960,3.12,0.38,9.1,6,white
7.8,0.6,0.09,1.9,0.075,14,27,0.9967,3.32,0.54,9.4,7,red
9.3,0.3,0.45,1.5,0.057,19,37,0.9950,3.18,0.89,11.1,7,red
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,red
9.5,0.2,0.47,1.3,0.039,21,123,0.9959,2.90,0.64,9.5,5,white
7.2,0.6,0.00,1.9,0.097,14,38,0.9968,3.37,0.58,9.0,6,red
7.1,0.4,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,white
6.3,0.2,0.26,1.1,0.047,42,120,0.9915,3.49,0.62,11.0,7,white
7.4,0.3,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7,white
6.5,0.6,0.00,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5,red
6.1,0.4,0.26,8.2,0.035,14,88,0.9903,3.06,0.27,13.0,7,white
7.6,0.3,0.25,13.9,0.050,45,199,0.9984,3.34,0.50,9.8,6,white
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10.0,7,white
7.3,0.2,0.37,1.2,0.037,48,119,0.9920,3.32,0.49,10.9,6,white
6.7,0.3,0.28,4.5,0.051,14,92,0.9922,3.36,0.58,11.9,6,white
6.3,0.2,0.29,11.7,0.048,49,147,0.9948,3.22,0.38,10.8,5,white
6.8,0.6,0.04,1.5,0.057,5,10,0.9953,3.42,0.60,9.5,5,red
6.1,0.5,0.32,6.2,0.053,10,94,0.9954,3.35,0.47,10.1,5,white
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13.0,5,red
7.6,0.3,0.34,1.3,0.056,34,176,0.9943,3.10,0.51,9.5,5,white
7.9,0.4,0.53,12.9,0.049,63,139,0.9979,2.94,0.45,9.1,5,white
6.6,0.2,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,white
7.0,0.2,0.26,7.2,0.041,21,90,0.9951,3.22,0.55,9.5,6,white
9.8,0.4,0.39,2.5,0.079,28,65,0.9973,3.16,0.59,9.8,5,red
7.6,0.4,0.25,2.5,0.076,29,60,0.9961,3.36,0.57,10.6,6,red
6.2,0.4,0.20,18.1,0.069,33,158,0.9991,3.15,0.50,8.8,6,white
6.6,0.2,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,7,white
8.0,0.2,0.30,2.0,0.053,48,140,0.9940,3.18,0.49,9.6,6,white
6.4,0.2,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6,white
6.2,0.2,0.29,1.6,0.039,24,92,0.9911,3.27,0.50,11.2,6,white
6.7,0.1,0.34,8.8,0.043,41,113,0.9962,3.42,0.40,9.3,7,white
8.0,0.3,0.49,9.0,0.044,31,185,0.9980,3.34,0.49,10.0,6,white
8.3,0.3,0.39,2.4,0.058,16,107,0.9955,3.28,0.59,10.3,5,white
6.1,0.3,0.27,6.6,0.022,29,133,0.9918,3.15,0.35,11.4,7,white
7.1,0.6,0.01,2.3,0.079,24,37,0.9951,3.40,0.61,10.9,6,red
5.9,0.2,0.37,1.0,0.037,32,97,0.9892,3.16,0.47,12.0,7,white
8.1,0.3,0.44,1.5,0.042,6,12,0.9954,3.35,0.61,10.7,5,red
8.0,0.6,0.22,2.1,0.080,25,105,0.9961,3.30,0.49,9.9,5,red
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.20,0.77,10.8,7,red
6.8,0.7,0.02,1.8,0.050,5,11,0.9962,3.48,0.52,9.5,5,red
7.1,0.4,0.30,9.9,0.037,29,124,0.9941,3.07,0.42,10.9,6,white
6.4,0.2,0.32,4.9,0.046,50,156,0.9932,3.38,0.55,11.2,6,white
13.0,0.5,0.49,4.3,0.085,6,47,1.0021,3.30,0.68,12.7,6,red
6.8,0.6,0.07,1.9,0.088,8,44,0.9954,3.46,0.55,10.4,7,red
6.5,0.2,0.10,1.3,0.046,23,107,0.9937,3.29,0.45,10.0,5,white
6.7,0.3,0.45,14.3,0.054,30,181,0.9987,3.14,0.57,9.1,5,white
7.8,0.5,0.20,1.9,0.081,17,107,0.9961,3.33,0.53,9.4,4,red
6.5,0.2,0.41,0.7,0.037,28,113,0.9907,3.18,0.52,10.9,6,white
6.8,0.6,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5,red
5.8,1.1,0.09,1.6,0.172,6,19,0.9939,3.51,0.50,9.9,4,red
7.3,0.6,0.26,7.2,0.070,35,121,0.9981,3.37,0.49,9.4,5,red
6.7,0.2,0.29,14.9,0.053,55,136,0.9984,3.03,0.52,9.0,5,white
8.3,0.2,0.41,2.2,0.050,24,108,0.9940,2.85,0.45,9.5,5,white
8.0,0.2,0.30,8.1,0.037,42,130,0.9938,3.10,0.67,11.8,6,white
6.6,0.8,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7,red
6.5,0.3,0.52,1.7,0.034,41,193,0.9922,3.25,0.59,10.4,6,white
10.8,0.5,0.33,2.5,0.099,20,38,0.9982,3.24,0.71,10.8,5,red
6.5,0.3,0.32,3.0,0.036,38,93,0.9906,3.16,0.59,12.0,6,white
7.0,0.4,0.24,12.1,0.056,68,210,0.9972,3.05,0.50,9.5,5,white
7.4,0.2,0.29,10.1,0.050,21,105,0.9962,3.13,0.35,9.5,5,white
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5,white
8.1,0.5,0.18,1.9,0.080,13,35,0.9972,3.30,0.59,9.0,6,red
6.4,0.2,0.44,1.2,0.051,39,122,0.9906,3.11,0.75,11.3,7,white
7.8,0.7,0.09,2.5,0.093,9,41,0.9973,3.24,0.72,9.9,6,red
6.1,0.3,0.28,10.0,0.055,56,131,0.9940,3.22,0.35,10.9,6,white
6.2,0.3,0.32,2.2,0.036,15,70,0.9899,3.16,0.48,12.7,6,white
7.0,0.3,0.56,2.0,0.035,20,95,0.9918,3.23,0.53,11.0,6,white
8.6,0.6,0.09,3.3,0.068,8,17,0.9974,3.23,0.44,10.0,5,red
6.4,0.3,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7,white
9.6,0.3,0.47,1.4,0.056,9,24,0.9970,3.22,0.82,10.3,7,red
5.7,0.2,0.20,16.0,0.044,41,113,0.9986,3.22,0.46,8.9,6,white
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6,white
6.3,0.2,0.58,1.4,0.204,15,97,0.9931,3.16,0.43,10.0,6,white
5.9,0.4,0.13,1.4,0.040,11,64,0.9922,3.29,0.52,10.5,5,white
6.4,0.3,0.21,7.1,0.040,35,162,0.9956,3.39,0.58,9.9,6,white
9.1,0.8,0.00,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6,red
6.6,0.4,0.16,1.4,0.037,28,160,0.9917,2.95,0.45,10.6,6,white
7.5,0.2,0.35,17.8,0.058,128,212,1.0024,3.44,0.43,8.9,5,white
6.3,0.1,0.42,1.1,0.043,63,146,0.9907,3.13,0.72,11.2,7,white
6.9,0.3,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4,white
6.9,0.2,0.35,13.5,0.038,49,118,0.9955,3.00,0.63,10.7,6,white
9.0,0.3,0.48,6.6,0.043,11,73,0.9938,2.90,0.38,11.6,5,white
6.6,0.2,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,6,white
6.9,0.5,0.25,2.2,0.071,1,22,0.9964,3.25,0.61,9.3,4,red
6.0,0.2,0.38,9.8,0.033,17,50,0.9932,3.07,0.67,12.0,6,white
6.9,0.5,0.03,1.4,0.084,17,49,0.9960,3.34,0.77,9.6,5,red
6.3,0.4,0.51,6.3,0.048,35,146,0.9943,3.10,1.01,10.5,6,white
7.7,0.6,0.06,3.7,0.084,24,45,0.9979,3.33,0.53,9.5,5,red
6.6,0.4,0.29,1.7,0.023,25,84,0.9894,3.42,0.62,12.4,9,white
5.7,0.3,0.15,1.9,0.050,20,93,0.9934,3.38,0.62,9.9,5,white
8.4,0.3,0.29,1.1,0.032,4,55,0.9908,2.91,0.32,11.4,4,white
7.7,0.3,0.26,19.0,0.053,36,174,0.9998,3.20,0.50,10.4,5,white
7.2,0.6,0.00,1.9,0.097,15,39,0.9968,3.37,0.58,9.2,6,red
6.6,0.3,0.40,8.1,0.046,68,170,0.9949,3.15,0.50,9.6,6,white
7.8,0.2,0.49,1.4,0.052,6,48,0.9911,3.15,0.28,11.4,5,white
8.4,0.6,0.10,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,red
6.9,0.5,0.27,4.7,0.035,17,80,0.9906,3.12,0.36,12.5,7,white
6.6,0.3,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6,white
6.4,0.3,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5,white
7.4,0.2,0.27,15.5,0.050,25,135,0.9984,2.90,0.43,8.7,7,white
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5,white
6.2,0.2,0.36,17.2,0.039,37,130,0.9995,3.23,0.43,8.8,6,white
6.8,0.5,0.26,5.7,0.038,27,130,0.9900,3.11,0.27,13.0,7,white
6.8,0.2,0.33,1.3,0.031,22,87,0.9899,3.08,0.62,12.3,7,white
6.1,0.2,0.27,11.5,0.050,51,133,0.9948,3.22,0.37,10.8,6,white
5.5,0.4,0.38,1.7,0.036,17,98,0.9914,3.29,0.39,10.5,6,white
8.0,0.3,0.33,1.2,0.050,41,103,0.9900,3.00,0.45,12.4,6,white
6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11.0,7,white
10.4,0.6,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6,red
6.4,0.3,0.26,7.9,0.050,53,180,0.9951,3.14,0.50,9.6,5,white
7.9,0.4,0.24,15.6,0.072,44,229,0.9979,3.03,0.59,10.5,6,white
6.3,0.2,0.55,8.1,0.040,67,216,0.9960,3.24,0.50,9.2,5,white
6.6,0.6,0.15,10.0,0.037,38,157,0.9964,3.28,0.52,9.4,5,white
6.6,0.3,0.24,1.6,0.039,29,140,0.9930,3.35,0.61,10.4,7,white
6.4,0.7,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,6,white
9.1,0.3,0.45,10.6,0.035,28,124,0.9970,3.20,0.46,10.4,9,white
8.3,0.7,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,red
5.9,0.3,0.31,2.0,0.030,38,142,0.9889,3.40,0.41,12.9,7,white
8.3,0.3,0.33,2.5,0.053,12,72,0.9940,2.89,0.48,9.5,5,white
6.8,0.3,0.30,13.0,0.047,69,160,0.9971,3.16,0.50,9.6,6,white
8.8,0.4,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,red
6.0,0.1,0.28,5.7,0.038,56,190,0.9948,3.59,0.43,10.6,7,white
5.4,0.8,0.08,1.2,0.046,13,92,0.9923,3.56,0.83,12.9,7,red
10.0,0.3,0.65,2.8,0.123,11,41,0.9980,3.23,0.67,12.4,6,red
6.3,0.4,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7,white
6.3,0.3,0.27,6.6,0.054,40,158,0.9938,3.20,0.48,10.3,5,white
7.6,0.5,0.24,2.4,0.091,8,38,0.9980,3.47,0.66,9.6,6,red
5.9,0.3,0.29,5.4,0.046,34,116,0.9922,3.24,0.41,11.4,6,white
6.1,0.3,0.29,4.9,0.064,32,199,0.9965,3.69,0.70,9.8,5,white
6.0,0.4,0.17,12.0,0.046,65,246,0.9976,3.15,0.38,9.0,6,white
8.1,0.4,0.44,2.8,0.089,11,45,0.9975,3.51,0.60,10.5,7,red
7.4,0.2,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6,white
7.8,0.3,0.31,2.1,0.046,28,208,0.9943,3.23,0.64,9.8,5,white
5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.30,0.36,11.8,8,white
6.7,0.3,0.34,8.9,0.048,32,111,0.9946,3.25,0.54,11.0,7,white
8.1,0.4,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,red
7.1,0.6,0.02,2.5,0.081,17,87,0.9975,3.48,0.60,9.7,6,red
8.9,0.3,0.49,1.6,0.050,17,131,0.9956,3.13,0.34,9.4,5,white
6.7,0.2,0.32,3.7,0.041,26,76,0.9917,2.90,0.57,10.5,7,white
7.3,0.3,0.33,11.8,0.057,48,127,0.9969,3.10,0.55,10.0,6,white
5.1,0.3,0.30,0.9,0.037,28,152,0.9920,3.54,0.56,10.1,6,white
6.5,0.2,0.51,17.6,0.045,34,125,0.9997,3.20,0.47,8.8,6,white
7.7,0.4,0.12,1.7,0.097,19,27,0.9960,3.16,0.49,9.4,5,red
7.0,0.2,0.28,14.7,0.051,29,149,0.9979,2.96,0.39,9.0,7,white
7.4,0.2,0.27,1.3,0.048,26,105,0.9940,3.52,0.66,10.6,6,white
5.5,0.6,0.09,2.7,0.043,26,78,0.9931,3.34,0.37,9.2,5,white
5.7,0.2,0.32,1.2,0.036,7,89,0.9911,3.26,0.48,11.0,5,white
6.4,0.3,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5,white
6.4,0.2,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5,white
6.9,0.2,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6,white
5.4,0.5,0.15,2.1,0.026,29,130,0.9895,3.39,0.77,13.4,8,white
7.0,0.6,0.00,2.0,0.190,12,45,0.9968,3.31,0.60,9.4,6,red
7.6,0.3,0.47,1.6,0.068,5,55,0.9944,3.10,0.45,9.6,5,white
7.1,0.4,0.40,2.2,0.042,54,201,0.9918,3.03,0.50,11.4,5,white
6.7,0.2,0.39,1.0,0.032,14,71,0.9891,3.31,0.38,13.0,7,white
7.0,0.2,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6,white
7.6,0.2,0.30,14.2,0.056,53,213,0.9990,3.14,0.46,8.9,8,white
7.0,0.2,0.31,2.3,0.048,32,156,0.9913,3.16,0.51,11.3,6,white
6.0,0.3,0.27,15.5,0.036,31,134,0.9941,3.19,0.44,13.0,7,white
6.9,0.4,0.37,8.9,0.053,36,148,0.9960,3.16,0.50,9.3,5,white
8.2,0.4,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,5,red
8.0,0.2,0.37,0.9,0.049,36,109,0.9901,2.89,0.44,12.7,6,red
6.1,0.4,0.20,7.6,0.031,49,170,0.9956,3.22,0.48,9.5,5,white
7.0,0.2,0.30,6.7,0.039,37,125,0.9944,3.20,0.39,9.9,5,white
7.4,0.4,0.12,2.9,0.091,30,53,0.9968,3.38,0.69,10.2,5,red
7.1,0.2,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6,white
6.7,0.4,0.32,9.0,0.032,29,113,0.9919,3.13,0.65,12.9,7,white
6.4,0.4,0.35,5.6,0.034,9,148,0.9944,3.17,0.50,9.8,4,white
8.6,0.2,0.34,1.5,0.040,25,147,0.9936,2.97,0.37,9.8,5,white
